    alt     Ap           He            O           N2           O2           Ar          rho            H            N           O*       T
   88.0   48.0   0.4787E+09   0.2407E+12   0.6347E+14   0.1700E+14   0.7563E+12   0.3912E-08   0.1190E+09   0.9999E-37   0.9999E-37  211.34
   89.0   48.0   0.4228E+09   0.3083E+12   0.5453E+14   0.1459E+14   0.6480E+12   0.3363E-08   0.1086E+09   0.9999E-37   0.9999E-37  210.13
   90.0   48.0   0.3762E+09   0.3813E+12   0.4695E+14   0.1254E+14   0.5560E+12   0.2897E-08   0.9910E+08   0.9999E-37   0.9999E-37  208.25
   91.0   48.0   0.3368E+09   0.4564E+12   0.4047E+14   0.1079E+14   0.4773E+12   0.2500E-08   0.9058E+08   0.9999E-37   0.9999E-37  205.82
   92.0   48.0   0.3031E+09   0.5292E+12   0.3490E+14   0.9284E+13   0.4095E+12   0.2158E-08   0.8293E+08   0.1520E+05   0.9999E-37  202.99
   93.0   48.0   0.2742E+09   0.5944E+12   0.3007E+14   0.7979E+13   0.3509E+12   0.1862E-08   0.7606E+08   0.1854E+05   0.9999E-37  199.87
   94.0   48.0   0.2490E+09   0.6463E+12   0.2589E+14   0.6845E+13   0.3000E+12   0.1605E-08   0.6988E+08   0.2232E+05   0.9999E-37  196.60
   95.0   48.0   0.2270E+09   0.6787E+12   0.2224E+14   0.5856E+13   0.2556E+12   0.1381E-08   0.6421E+08   0.2655E+05   0.9999E-37  193.29
   96.0   48.0   0.2075E+09   0.6869E+12   0.1906E+14   0.4989E+13   0.2165E+12   0.1184E-08   0.5894E+08   0.3126E+05   0.9999E-37  190.11
   97.0   48.0   0.1902E+09   0.6674E+12   0.1627E+14   0.4230E+13   0.1823E+12   0.1011E-08   0.5402E+08   0.3648E+05   0.9999E-37  187.18
   98.0   48.0   0.1746E+09   0.6214E+12   0.1384E+14   0.3568E+13   0.1524E+12   0.8599E-09   0.4941E+08   0.4223E+05   0.9999E-37  184.64
   99.0   48.0   0.1606E+09   0.5555E+12   0.1172E+14   0.2992E+13   0.1265E+12   0.7271E-09   0.4510E+08   0.4852E+05   0.9999E-37  182.60
  100.0   48.0   0.1479E+09   0.4804E+12   0.9871E+13   0.2495E+13   0.1043E+12   0.6114E-09   0.4108E+08   0.5540E+05   0.9999E-37  181.16
  101.0   48.0   0.1363E+09   0.4066E+12   0.8277E+13   0.2069E+13   0.8531E+11   0.5114E-09   0.3733E+08   0.6288E+05   0.9999E-37  180.42
  102.0   48.0   0.1257E+09   0.3412E+12   0.6908E+13   0.1705E+13   0.6929E+11   0.4256E-09   0.3384E+08   0.7099E+05   0.9999E-37  180.52
  103.0   48.0   0.1160E+09   0.2866E+12   0.5739E+13   0.1398E+13   0.5590E+11   0.3525E-09   0.3059E+08   0.7977E+05   0.9999E-37  181.58
  104.0   48.0   0.1071E+09   0.2424E+12   0.4746E+13   0.1140E+13   0.4481E+11   0.2908E-09   0.2758E+08   0.8918E+05   0.9999E-37  183.77
  105.0   48.0   0.9875E+08   0.2065E+12   0.3909E+13   0.9254E+12   0.3577E+11   0.2389E-09   0.2478E+08   0.9907E+05   0.9999E-37  187.28
  106.0   48.0   0.9107E+08   0.1773E+12   0.3212E+13   0.7491E+12   0.2847E+11   0.1958E-09   0.2222E+08   0.1095E+06   0.9999E-37  192.13
  107.0   48.0   0.8400E+08   0.1533E+12   0.2636E+13   0.6056E+12   0.2264E+11   0.1604E-09   0.1988E+08   0.1205E+06   0.9999E-37  198.31
  108.0   48.0   0.7734E+08   0.1333E+12   0.2163E+13   0.4896E+12   0.1802E+11   0.1314E-09   0.1775E+08   0.1321E+06   0.9999E-37  205.83
  109.0   48.0   0.7105E+08   0.1165E+12   0.1778E+13   0.3964E+12   0.1437E+11   0.1078E-09   0.1579E+08   0.1445E+06   0.9999E-37  214.71
  110.0   48.0   0.6518E+08   0.1022E+12   0.1465E+13   0.3218E+12   0.1149E+11   0.8871E-10   0.1402E+08   0.1577E+06   0.9999E-37  224.96
  111.0   48.0   0.5975E+08   0.9000E+11   0.1211E+13   0.2621E+12   0.9233E+10   0.7325E-10   0.1242E+08   0.1718E+06   0.9999E-37  236.59
  112.0   48.0   0.5477E+08   0.7953E+11   0.1005E+13   0.2145E+12   0.7457E+10   0.6076E-10   0.1099E+08   0.1871E+06   0.9999E-37  249.54
  113.0   48.0   0.5025E+08   0.7055E+11   0.8389E+12   0.1765E+12   0.6062E+10   0.5068E-10   0.9737E+07   0.2037E+06   0.9999E-37  263.68
  114.0   48.0   0.4619E+08   0.6286E+11   0.7047E+12   0.1462E+12   0.4964E+10   0.4255E-10   0.8638E+07   0.2219E+06   0.9999E-37  278.77
  115.0   48.0   0.4261E+08   0.5631E+11   0.5963E+12   0.1220E+12   0.4101E+10   0.3599E-10   0.7688E+07   0.2421E+06   0.9999E-37  294.41
  116.0   48.0   0.3946E+08   0.5072E+11   0.5086E+12   0.1027E+12   0.3417E+10   0.3069E-10   0.6870E+07   0.2646E+06   0.9999E-37  310.33
  117.0   48.0   0.3670E+08   0.4593E+11   0.4371E+12   0.8713E+11   0.2871E+10   0.2637E-10   0.6164E+07   0.2898E+06   0.9999E-37  326.45
  118.0   48.0   0.3425E+08   0.4179E+11   0.3783E+12   0.7447E+11   0.2432E+10   0.2283E-10   0.5554E+07   0.3177E+06   0.9999E-37  342.65
  119.0   48.0   0.3205E+08   0.3821E+11   0.3297E+12   0.6409E+11   0.2075E+10   0.1990E-10   0.5025E+07   0.3486E+06   0.9999E-37  358.84
  120.0   48.0   0.3009E+08   0.3509E+11   0.2892E+12   0.5553E+11   0.1784E+10   0.1745E-10   0.4566E+07   0.3829E+06   0.9999E-37  374.91
  121.0   48.0   0.2834E+08   0.3237E+11   0.2552E+12   0.4842E+11   0.1543E+10   0.1540E-10   0.4164E+07   0.4207E+06   0.9999E-37  390.77
  122.0   48.0   0.2677E+08   0.2997E+11   0.2265E+12   0.4247E+11   0.1343E+10   0.1368E-10   0.3810E+07   0.4624E+06   0.9999E-37  406.35
  123.0   48.0   0.2535E+08   0.2786E+11   0.2020E+12   0.3747E+11   0.1176E+10   0.1221E-10   0.3497E+07   0.5083E+06   0.7334E-35  421.58
  124.0   48.0   0.2407E+08   0.2598E+11   0.1812E+12   0.3322E+11   0.1035E+10   0.1095E-10   0.3220E+07   0.5584E+06   0.2676E-34  436.45
  125.0   48.0   0.2292E+08   0.2430E+11   0.1632E+12   0.2960E+11   0.9161E+09   0.9869E-11   0.2974E+07   0.6129E+06   0.9586E-34  450.94
  126.0   48.0   0.2187E+08   0.2278E+11   0.1475E+12   0.2649E+11   0.8145E+09   0.8930E-11   0.2753E+07   0.6719E+06   0.3371E-33  465.09
  127.0   48.0   0.2090E+08   0.2140E+11   0.1339E+12   0.2380E+11   0.7272E+09   0.8111E-11   0.2555E+07   0.7356E+06   0.1164E-32  478.90
  128.0   48.0   0.2002E+08   0.2015E+11   0.1220E+12   0.2146E+11   0.6518E+09   0.7393E-11   0.2377E+07   0.8042E+06   0.3949E-32  492.37
  129.0   48.0   0.1921E+08   0.1901E+11   0.1114E+12   0.1941E+11   0.5863E+09   0.6760E-11   0.2216E+07   0.8778E+06   0.1317E-31  505.52
  130.0   48.0   0.1846E+08   0.1797E+11   0.1021E+12   0.1762E+11   0.5291E+09   0.6200E-11   0.2071E+07   0.9566E+06   0.4314E-31  518.35
  131.0   48.0   0.1777E+08   0.1702E+11   0.9384E+11   0.1604E+11   0.4789E+09   0.5701E-11   0.1938E+07   0.1041E+07   0.1389E-30  530.88
  132.0   48.0   0.1713E+08   0.1614E+11   0.8645E+11   0.1463E+11   0.4348E+09   0.5257E-11   0.1817E+07   0.1130E+07   0.4400E-30  543.11
  133.0   48.0   0.1653E+08   0.1533E+11   0.7983E+11   0.1339E+11   0.3957E+09   0.4858E-11   0.1707E+07   0.1226E+07   0.1371E-29  555.04
  134.0   48.0   0.1598E+08   0.1458E+11   0.7388E+11   0.1228E+11   0.3610E+09   0.4500E-11   0.1606E+07   0.1327E+07   0.4201E-29  566.68
  135.0   48.0   0.1545E+08   0.1388E+11   0.6851E+11   0.1128E+11   0.3301E+09   0.4178E-11   0.1513E+07   0.1434E+07   0.1267E-28  578.05
  136.0   48.0   0.1497E+08   0.1324E+11   0.6366E+11   0.1039E+11   0.3024E+09   0.3886E-11   0.1428E+07   0.1547E+07   0.3761E-28  589.14
  137.0   48.0   0.1451E+08   0.1264E+11   0.5926E+11   0.9591E+10   0.2777E+09   0.3621E-11   0.1349E+07   0.1666E+07   0.1099E-27  599.97
  138.0   48.0   0.1408E+08   0.1208E+11   0.5526E+11   0.8866E+10   0.2554E+09   0.3380E-11   0.1276E+07   0.1791E+07   0.3163E-27  610.54
  139.0   48.0   0.1368E+08   0.1156E+11   0.5161E+11   0.8211E+10   0.2353E+09   0.3160E-11   0.1209E+07   0.1922E+07   0.8967E-27  620.86
  140.0   48.0   0.1330E+08   0.1108E+11   0.4828E+11   0.7617E+10   0.2172E+09   0.2959E-11   0.1147E+07   0.2059E+07   0.2504E-26  630.93
  141.0   48.0   0.1293E+08   0.1062E+11   0.4523E+11   0.7077E+10   0.2007E+09   0.2775E-11   0.1089E+07   0.2202E+07   0.6891E-26  640.75
  142.0   48.0   0.1259E+08   0.1019E+11   0.4242E+11   0.6585E+10   0.1858E+09   0.2607E-11   0.1035E+07   0.2352E+07   0.1869E-25  650.35
  143.0   48.0   0.1227E+08   0.9793E+10   0.3985E+11   0.6136E+10   0.1722E+09   0.2451E-11   0.9851E+06   0.2507E+07   0.4997E-25  659.71
  144.0   48.0   0.1197E+08   0.9416E+10   0.3747E+11   0.5726E+10   0.1599E+09   0.2308E-11   0.9385E+06   0.2668E+07   0.1317E-24  668.85
  145.0   48.0   0.1168E+08   0.9061E+10   0.3528E+11   0.5349E+10   0.1486E+09   0.2176E-11   0.8949E+06   0.2834E+07   0.3425E-24  677.77
  146.0   48.0   0.1140E+08   0.8724E+10   0.3326E+11   0.5004E+10   0.1383E+09   0.2054E-11   0.8542E+06   0.3005E+07   0.8783E-24  686.48
  147.0   48.0   0.1114E+08   0.8406E+10   0.3138E+11   0.4686E+10   0.1289E+09   0.1941E-11   0.8161E+06   0.3180E+07   0.2222E-23  694.98
  148.0   48.0   0.1089E+08   0.8105E+10   0.2964E+11   0.4393E+10   0.1202E+09   0.1836E-11   0.7805E+06   0.3360E+07   0.5549E-23  703.27
  149.0   48.0   0.1065E+08   0.7819E+10   0.2802E+11   0.4123E+10   0.1122E+09   0.1738E-11   0.7471E+06   0.3544E+07   0.1367E-22  711.37
  150.0   48.0   0.1042E+08   0.7548E+10   0.2652E+11   0.3873E+10   0.1049E+09   0.1647E-11   0.7157E+06   0.3731E+07   0.3326E-22  719.28
