    alt     Ap           He            O           N2           O2           Ar          rho            H            N           O*       T
   50.0   48.0   0.9104E+11   0.9999E-37   0.1367E+17   0.3666E+16   0.1634E+15   0.8416E-06   0.9999E-37   0.9999E-37   0.9999E-37  261.12
   51.0   48.0   0.8026E+11   0.5308E+08   0.1205E+17   0.3232E+16   0.1440E+15   0.7419E-06   0.9999E-37   0.9999E-37   0.9999E-37  260.32
   52.0   48.0   0.7081E+11   0.5073E+08   0.1063E+17   0.2851E+16   0.1271E+15   0.6545E-06   0.9999E-37   0.9999E-37   0.9999E-37  259.22
   53.0   48.0   0.6249E+11   0.4774E+08   0.9383E+16   0.2516E+16   0.1121E+15   0.5776E-06   0.9999E-37   0.9999E-37   0.9999E-37  257.88
   54.0   48.0   0.5515E+11   0.4478E+08   0.8281E+16   0.2221E+16   0.9897E+14   0.5098E-06   0.9999E-37   0.9999E-37   0.9999E-37  256.38
   55.0   48.0   0.4865E+11   0.4242E+08   0.7306E+16   0.1959E+16   0.8731E+14   0.4497E-06   0.9999E-37   0.9999E-37   0.9999E-37  254.77
   56.0   48.0   0.4290E+11   0.4105E+08   0.6442E+16   0.1727E+16   0.7698E+14   0.3965E-06   0.9999E-37   0.9999E-37   0.9999E-37  253.12
   57.0   48.0   0.3780E+11   0.4071E+08   0.5676E+16   0.1522E+16   0.6783E+14   0.3494E-06   0.9999E-37   0.9999E-37   0.9999E-37  251.44
   58.0   48.0   0.3329E+11   0.4114E+08   0.4999E+16   0.1340E+16   0.5974E+14   0.3077E-06   0.9999E-37   0.9999E-37   0.9999E-37  249.68
   59.0   48.0   0.2930E+11   0.4217E+08   0.4400E+16   0.1180E+16   0.5258E+14   0.2709E-06   0.9999E-37   0.9999E-37   0.9999E-37  247.83
   60.0   48.0   0.2578E+11   0.4362E+08   0.3871E+16   0.1038E+16   0.4627E+14   0.2383E-06   0.9999E-37   0.9999E-37   0.9999E-37  245.85
   61.0   48.0   0.2267E+11   0.4531E+08   0.3405E+16   0.9130E+15   0.4069E+14   0.2096E-06   0.9999E-37   0.9999E-37   0.9999E-37  243.73
   62.0   48.0   0.1993E+11   0.4733E+08   0.2993E+16   0.8025E+15   0.3577E+14   0.1842E-06   0.9999E-37   0.9999E-37   0.9999E-37  241.46
   63.0   48.0   0.1750E+11   0.5007E+08   0.2628E+16   0.7048E+15   0.3141E+14   0.1618E-06   0.9999E-37   0.9999E-37   0.9999E-37  239.13
   64.0   48.0   0.1535E+11   0.5406E+08   0.2305E+16   0.6182E+15   0.2755E+14   0.1419E-06   0.9999E-37   0.9999E-37   0.9999E-37  236.76
   65.0   48.0   0.1345E+11   0.6000E+08   0.2020E+16   0.5416E+15   0.2414E+14   0.1243E-06   0.9999E-37   0.9999E-37   0.9999E-37  234.42
   66.0   48.0   0.1176E+11   0.6897E+08   0.1766E+16   0.4737E+15   0.2111E+14   0.1087E-06   0.9999E-37   0.9999E-37   0.9999E-37  232.16
   67.0   48.0   0.1027E+11   0.8194E+08   0.1542E+16   0.4136E+15   0.1843E+14   0.9495E-07   0.9999E-37   0.9999E-37   0.9999E-37  229.99
   68.0   48.0   0.8953E+10   0.9925E+08   0.1344E+16   0.3605E+15   0.1607E+14   0.8276E-07   0.9999E-37   0.9999E-37   0.9999E-37  227.96
   69.0   48.0   0.7789E+10   0.1208E+09   0.1170E+16   0.3136E+15   0.1398E+14   0.7200E-07   0.9999E-37   0.9999E-37   0.9999E-37  226.09
   70.0   48.0   0.6764E+10   0.1457E+09   0.1016E+16   0.2724E+15   0.1214E+14   0.6252E-07   0.9999E-37   0.9999E-37   0.9999E-37  224.41
   71.0   48.0   0.5862E+10   0.1716E+09   0.8803E+15   0.2361E+15   0.1052E+14   0.5419E-07   0.9999E-37   0.9999E-37   0.9999E-37  222.92
   72.0   48.0   0.5074E+10   0.1977E+09   0.7619E+15   0.2043E+15   0.9105E+13   0.4690E-07   0.9999E-37   0.9999E-37   0.9999E-37  221.59
   73.0   48.0   0.4387E+10   0.2283E+09   0.6588E+15   0.1767E+15   0.7874E+13   0.4056E-07   0.9999E-37   0.9999E-37   0.9999E-37  220.25
   74.0   48.0   0.3794E+10   0.2718E+09   0.5697E+15   0.1528E+15   0.6808E+13   0.3507E-07   0.9999E-37   0.9999E-37   0.9999E-37  218.74
   75.0   48.0   0.3282E+10   0.3427E+09   0.4928E+15   0.1322E+15   0.5890E+13   0.3034E-07   0.9999E-37   0.9999E-37   0.9999E-37  216.89
   76.0   48.0   0.2842E+10   0.4706E+09   0.4267E+15   0.1144E+15   0.5099E+13   0.2627E-07   0.7677E+07   0.9999E-37   0.9999E-37  214.56
   77.0   48.0   0.2464E+10   0.7139E+09   0.3696E+15   0.9910E+14   0.4417E+13   0.2275E-07   0.2413E+08   0.9999E-37   0.9999E-37  211.80
   78.0   48.0   0.2136E+10   0.1180E+10   0.3196E+15   0.8570E+14   0.3819E+13   0.1967E-07   0.5280E+08   0.9999E-37   0.9999E-37  209.00
   79.0   48.0   0.1849E+10   0.2087E+10   0.2754E+15   0.7384E+14   0.3291E+13   0.1695E-07   0.8891E+08   0.9999E-37   0.9999E-37  206.54
   80.0   48.0   0.1595E+10   0.3885E+10   0.2361E+15   0.6332E+14   0.2822E+13   0.1454E-07   0.1238E+09   0.9999E-37   0.9999E-37  204.78
   81.0   48.0   0.1370E+10   0.7473E+10   0.2012E+15   0.5397E+14   0.2405E+13   0.1239E-07   0.1501E+09   0.9999E-37   0.9999E-37  204.08
   82.0   48.0   0.1171E+10   0.1456E+11   0.1705E+15   0.4572E+14   0.2038E+13   0.1050E-07   0.1646E+09   0.9999E-37   0.9999E-37  204.61
   83.0   48.0   0.9997E+09   0.2791E+11   0.1439E+15   0.3859E+14   0.1720E+13   0.8861E-08   0.1681E+09   0.9999E-37   0.9999E-37  206.04
   84.0   48.0   0.8538E+09   0.5101E+11   0.1214E+15   0.3256E+14   0.1451E+13   0.7475E-08   0.1635E+09   0.9999E-37   0.9999E-37  207.92
   85.0   48.0   0.7313E+09   0.8621E+11   0.1026E+15   0.2751E+14   0.1226E+13   0.6317E-08   0.1539E+09   0.9999E-37   0.9999E-37  209.82
   86.0   48.0   0.6296E+09   0.1306E+12   0.8698E+14   0.2332E+14   0.1039E+13   0.5358E-08   0.1421E+09   0.9999E-37   0.9999E-37  211.23
   87.0   48.0   0.5465E+09   0.1810E+12   0.7414E+14   0.1987E+14   0.8849E+12   0.4568E-08   0.1303E+09   0.9999E-37   0.9999E-37  211.74
